constituency,reform_vote_share,is_scotland,leave_vote_share,degree_pct,median_age,median_weekly_wage,claimant_rate,foreign_born_pct,population_density,ethnic_minority_pct,deprivation_score
Rushcliffe,11.002008866722084,0,41.81181883,46.23790538240871,43.0,836.8,2.0,9.0059076,367.7263425762394,11.3714125,7.166617491235671
Rutherglen,6.32002636286602,1,37.30974837,29.187103102896383,43.0,764.5,3.0,6.0307091,2243.2985124526786,6.070025899999997,23.53307870091648
Rutland and Stamford,14.426580480474298,0,51.96109057,37.15956281368628,47.0,756.9,2.1,8.3333282,100.35941687540844,7.129680300000096,10.009194409544476
Salford,15.189905299214184,0,53.76394649,37.5607259003493,30.0,670.8,5.0,25.3887777,5004.293816534842,23.2151446,37.3791412048076
Salisbury,10.433898710461802,0,47.69613924,38.43917068718216,47.0,742.3,2.4,10.7523737,136.60278587577233,5.718123600000002,14.01663233441078
Scarborough and Whitby,21.83804074986997,0,61.12430312,27.919790333394285,49.0,672.8,3.5000000000000004,6.5337404,132.5259230512754,3.2175893999999983,26.64715227930052
Scunthorpe,20.90343397096105,0,67.65987107,21.92025391787344,41.0,683.9,4.3,12.8914487,357.5362460456801,7.916372900000002,25.768696516950964
Sefton Central,12.15410229931084,0,41.81669805,35.440742962982284,49.0,861.7,2.1,3.7789186,899.4345020879447,3.0379893999999963,14.54893711301753
Selby,19.43236764048596,0,60.7427845,30.428728826898165,43.0,775.3,2.2,5.246949799999999,207.58494724502611,2.455315400000002,14.004802634839756
Sevenoaks,18.719814024329143,0,55.10591556,37.535179415016586,44.0,946.3,2.1,11.7214143,398.7216908483837,8.7467968,12.726354573662894
Sherwood Forest,23.26346074804768,0,62.44376922,26.47424143845744,42.0,747.0,3.0,4.8493811,346.6698326318148,4.869523399999998,20.156808570678567
Shipley,14.984576527337849,0,49.82717416,36.45044864404231,45.0,752.2,3.3000000000000003,6.5187633,1042.2191922763702,10.505204,19.27622230212511
Shrewsbury,14.592707525213344,0,53.02671539,34.45755028917024,44.0,717.1,2.5,7.3841959,312.1548066242435,4.390006899999999,16.088174862901152
Sittingbourne and Sheppey,25.64027513537246,0,66.20669528,21.03805461696117,40.0,745.9,3.9,8.3134239,568.755745368831,6.863751400000096,29.67110875611479
Skipton and Ripon,15.93264733395697,0,52.6433007,37.5512730273537,51.0,750.4,1.7000000000000002,5.5832953,49.32480500099366,3.085778100000003,12.414371229036542
Sleaford and North Hykeham,21.58756305981674,0,62.54377635,29.80809005101721,45.0,767.2,2.2,6.2229383,138.6695396759905,2.9320537000000035,11.89790433529962
Slough,7.745274735431397,0,53.66655799,34.854127870887645,34.0,788.0,6.3,44.409357,5903.436862168509,64.9375105,22.576103872621573
Smethwick,16.146945749679624,0,62.78567621,24.81440887673585,35.0,636.5,7.6,29.5620086,5498.05865503458,52.6011157,34.227323463249206
Solihull West and Shirley,15.250549309896112,0,52.95669153,39.93991998192283,43.0,918.4,2.9000000000000004,12.7840049,2446.0605652170843,22.5722813,11.249848017576335
South Basildon and East Thurrock,30.79218185036284,0,74.05499456,22.272648792639917,38.0,865.0,3.9,11.8866614,775.5184740011448,13.318024100000002,22.79012840018441
South Cambridgeshire,8.922292065227293,0,39.62321846,49.06673485042189,43.0,923.9,1.7999999999999998,18.6212339,185.93832131858585,13.556817899999997,9.114483947416788
South Cotswolds,9.841834490408706,0,47.97375594,39.716710266062655,48.0,824.4,1.9,8.5949428,115.0229314738607,4.746860799999997,10.074214540711244
South Derbyshire,19.63180794542712,0,61.71827304000001,31.155171292985763,41.0,806.7,2.5,6.1194679,355.2695461383191,7.034102799999998,14.889905156773713
South Devon,12.984654313933556,0,53.32561985,34.869864347374566,52.0,633.8,2.7,5.845936999999999,142.3079685895538,2.7048709999999976,18.921317067038228
South Dorset,16.6568101637539,0,60.06792212999999,28.083879611464663,50.0,698.1,3.0,6.2798496,273.71329150646267,3.163896799999999,21.883060658941787
South East Cornwall,18.89177454043745,0,55.03701518,30.678901936386964,52.0,715.3,2.8000000000000003,4.4168777,127.9559614337246,2.218575700000003,21.579726860454823
South Holland and The Deepings,23.09166122360113,0,71.35334639,21.34715253938914,46.0,686.1,3.1,13.4226822,135.0488999954744,3.651841900000097,16.746565587141
South Leicestershire,19.92834751455441,0,56.87867349,31.527176730113197,43.0,865.2,1.9,5.1323838,325.2043600787014,5.867284399999995,9.06827499296539
South Norfolk,15.294782064987192,0,47.79496599,35.18695432953852,43.0,799.0,2.0,7.4696369,188.03472832329828,5.306359699999996,12.022434618565226
South Northamptonshire,16.68994543456804,0,54.67408857,35.09640343358002,44.0,827.4,1.9,7.6841081,162.94966839895804,5.082726999999998,7.584964550975656
South Ribble,19.252996575342465,0,56.55770064,33.08393554812186,45.0,730.1,2.3,4.4737376,691.9841011496999,4.277275400000002,14.3053366852849
South Shields,22.998587877471213,0,60.27923694,27.246693031501437,44.0,650.0,5.4,5.1956992,2451.818637732049,7.202757500000001,31.244918825685808
South Shropshire,17.755019069560337,0,56.72369437,33.16985028394424,54.0,723.4,2.5,4.067470699999999,52.89007619539578,2.2834360000000054,17.7672236040739
South Suffolk,18.958627896969325,0,54.18522139,29.488090776328885,49.0,682.1,2.5,5.7284604,158.68350189005548,3.327819900000095,14.249898724412189
South West Devon,17.918532981126297,0,54.69117758000001,33.30510268896887,47.0,755.6,1.7999999999999998,4.749283999999999,249.45689728858505,2.227275900000003,11.476570995510958
South West Hertfordshire,14.071372321465578,0,51.06038673,42.6356784552948,42.0,888.1,2.8000000000000003,18.5458754,1041.901975383713,22.120089,9.888535596421471
South West Norfolk,22.460809743994588,0,66.49717998,22.285194514413657,45.0,732.1,2.7,12.0017719,92.0016712088128,3.833014800000001,22.235762966243016
South West Wiltshire,16.9814590192341,0,57.316956860000005,28.565892441933144,44.0,727.7,2.6,10.1494259,219.4628506368542,4.944407500000003,15.90556585323306
Southampton Itchen,18.009092581399628,0,59.45743445,29.199035330466,35.0,721.3,4.2,19.3905622,4499.001486691963,14.047409200000004,27.29955185769747
Southampton Test,14.693478564446306,0,50.20249364,33.43232312039448,34.0,740.2,4.8,27.7764626,4850.44308896913,22.7511648,27.89573903508772
Southend East and Rochford,18.19144643937865,0,59.9540156,25.123518097129853,40.0,707.2,5.3,12.7525699,411.1870961623573,12.4212412,27.887373757075498
Southend West and Leigh,17.614120252086526,0,58.14194122000001,28.041864981836927,42.0,898.6,3.4000000000000004,10.6429822,3808.049859610877,11.0141268,16.88973181931476
Southgate and Wood Green,6.890587024588908,0,36.48986983,42.83174904942966,39.0,853.2,7.000000000000001,46.6693578,5162.710916254058,41.6486379,22.90661815020397
Southport,16.41181561952107,0,48.87751094,31.24527842086024,48.0,754.5,3.2,8.784888399999998,537.3125073824156,4.628680799999996,20.87189670800287
Spelthorne,17.943941428757093,0,60.299599,33.58364722535448,40.0,876.7,3.4000000000000004,20.8739221,2092.4616823244664,21.3286714,14.99546810023637
Spen Valley,24.083004530176822,0,59.97342621,27.762733048640765,42.0,727.4,3.7,6.354329,1565.285167910588,11.656484700000004,22.080131434315724
St Albans,8.400821482543495,0,37.110026340000005,51.7247528788342,41.0,1155.0,2.7,19.1330765,1711.0515152165412,19.3955165,9.460159378290298
St Austell and Newquay,19.712402636309168,0,64.78510026,26.42337354640621,45.0,676.5,3.7,5.1486739,341.4322122089104,2.8109590000000018,24.283252015758247
St Helens North,22.520630528240357,0,58.27159996,26.979793794330565,42.0,740.2,3.5000000000000004,4.579474599999999,1224.7240204667964,3.107749800000004,32.10080169903807
St Helens South and Whiston,18.335743394242144,0,56.844808840000006,27.2391741743666,41.0,766.8,4.3,5.6841239,1789.064442868549,4.344087900000004,33.91342598737455
St Ives,13.495198104186588,0,54.74046024,32.376080248974844,51.0,615.7,3.5000000000000004,5.0303648,151.17600172026633,3.5047971999999983,24.16079730963144
St Neots and Mid Cambridgeshire,10.72765780416777,0,45.58121978,42.24556406148003,40.0,862.5,2.2,15.143916,321.9967516603725,10.4065164,9.656305036116304
Stafford,18.718076897998216,0,56.57830556,34.04621404264539,44.0,762.7,2.6,8.7629657,235.8120576299993,7.768602800000002,15.025872030675558
Staffordshire Moorlands,23.24373008175142,0,64.8250719,28.30574488802337,50.0,762.3,2.5,2.6155933,161.20226276556346,1.9945961000000008,15.668476012988204
Stalybridge and Hyde,20.894760868981443,0,57.91440327,26.289935743693004,40.0,694.3,4.6,7.259383,1580.683743351759,10.448577000000004,30.1589266692509
Stevenage,17.94919817394358,0,57.146909140000005,31.089703490554232,39.0,900.9,3.4000000000000004,15.6562383,1615.6608696696076,16.045675800000005,18.54521097016368
Stirling and Strathallan,6.317544493993813,1,32.62126259,39.66510413022692,44.0,860.7,2.2,9.387341199999998,41.72961768044402,4.623390000000005,14.91141041484351
Stockport,14.918847148776411,0,48.20809438,35.38725268445989,38.0,781.5,4.2,11.5903055,4289.027250102983,14.6844168,31.04314854530919
Stockton North,24.568861795139167,0,65.81456414,25.15617915260215,39.0,626.3,5.1,6.674903900000001,1140.4867084277537,8.202667500000004,34.230592559166624
Stockton West,14.048686212426498,0,54.78785621,36.78504975325621,44.0,771.3,2.0,5.266634,491.4604809104943,6.721835200000004,12.948039188958935
Stoke-on-Trent Central,24.203009436368276,0,68.51387871,22.308882015024302,35.0,635.8,6.5,16.637728499999998,3245.926626142187,19.0469024,37.33224331657956
